Post,Language,Author,Date,reply-to
KALHSPERA PAIDIA. EXW NA PAIXW PERIPOU 2 XRONIA KAI APOFASISA NA ARXISW PALI. PAIZW PVP SUNHTHOWS! THA HTHELA NA RWTHSW EAN H ALLIANCE YPERTEROUN STO PVP OPWS PALIA.. EIMAI HUNTER KAI EXW XEXASEI NA PAIZW EAN THELEI KAPOIOS NA BOHTHHSEI THA XAIROMOUN POLU! Darkdamm ONOMAZOMAI.. KAI KANENA ELLHNIKO GUILD STON ICECRONE DEN MPORW NA VRW KANENAN...,Greek/Greeklish,assos,2018-09-17 00:00:00,391091
"geia sou file an thes kane add
evvi :)",Greek/Greeklish,aceofjokergr,2018-10-17 00:00:00,391091
"ψαχνω για ελληνικο guild, expirienced παιχτης απο vanilla παιζω μόνο tbc privates. Στοχος ειναι το PVP αλλα δεν με πειραζει και pve",Greek/Greeklish,MadaoWoW,2018-06-30 00:00:00,386601
FOR THE ALLIANCE ρε φραγκοφωνια των privates xD,Greek/Greeklish,jasonidis33,2018-08-24 00:00:00,386601
psaxnw parea gia na me voh8hsei me  lvl up kai me ta achievement .. eimai noob gi ayto xD,Greek/Greeklish,SevyPunk,2018-08-20 00:00:00,389647
se poion server eisai;,Greek/Greeklish,aceofjokergr,2018-08-21 00:00:00,389647
"Originally Posted by aceofjokergr

se poion server eisai;


an eisai alliance se boostarw opote 8es :)",Greek/Greeklish,jasonidis33,2018-08-24 00:00:00,389647
"Uparxei kamia apo [A] Meria? (icecrown realm)
Let me know boiz",Greek/Greeklish,Year,2018-07-16 00:00:00,387596
Yparxei kapoio ellinko guild pou kanei recruit ston icecrown? <H>,Greek/Greeklish,Amendith21,2018-07-08 00:00:00,387121
Efoson dn apantise kaneis eftia3a egw ena kante m /w in game Amendith,Greek/Greeklish,Amendith21,2018-07-15 00:00:00,387121
oti leei o titlos paides grapste edo apo kato kana skype h discord na kanoume kana lvling plagma mazi,Greek/Greeklish,boombotboy,2018-02-10 00:00:00,378269
psaxnis akoma file?,Greek/Greeklish,notnice,2018-02-21 00:00:00,378269
"sto lordaeron etsi?
allios den tha epsaxnes atoma ston icecrown anebaineis lvl amesos
discord: kouyio#6983",Greek/Greeklish,kouyioman,2018-07-12 00:00:00,378269
"uparxei dunatothta donate, xwris credit card (pou den dia9etw)? gia na glitwsw to que time ston icecrown",Greek/Greeklish,radienergos1,2017-10-08 00:00:00,367976
"Απ' όσο έχω δει, το donate γίνεται:

1) μέσω πιστωτικής κάρτας (visa, mastercard, amex, discover)
2) μέσω Mint (http://www.mintprepaid.com/buy#buy)
2) μέσω smartphone με μια εφαρμογή που λέγεται WeChat

Δυστυχώς δε γνωρίζω παραπάνω λεπτομέρειες",Greek/Greeklish,rottenbunny,2017-10-08 00:00:00,367976
"to wechat einai opws to paypal, leitourgei me ta lefta pou exeis sti karta.
Uparxei tropos na pareis karta xoris na pas se trapeza ktlp (moneysafe). mpes sto site tous gia na deis plirofories.
alla file no joke stin epoxi pou eimaste den ginete na min exeis mia karta trapezis sou linei ta xeria padou, to kalitero einai apla na pareis mia tetoia karta h moneysafe pou leitourgei san visa enw vazeis lefta mesa sti moneysafe me kodikous opws paysafe",Greek/Greeklish,MadaoWoW,2018-06-30 00:00:00,367976
"Kalhspera paides,

Eimai arketo kairo ston server kai psaxnw gia 2s partner authn tn stigmh. Opws epishs gia kapoio ellhniko h kseno pvp guild.
Exw achievs apo 2s.

Gia parapanw info an kapoios endiaferetai /w me ingame sto onoma Bbkay


Eyxaristw.",Greek/Greeklish,Ripsin,2018-05-22 00:00:00,384475
"Ειμαστε καινουρια  GUILD  και ψαχνουμε ατομα   με ορεξη για   RAIDS.    Οποιος ενδιαφερεται να  μπει  στην Guild   μπορει  να δηλωσει  ενδιαφερον 
στο παρακατω λινκ :  https://lastresortwarmane.enjin.com/recruitment .  Aν  εχετε απορειες μπορουμε να τις συζητησουμε  στο τοπικ αυτο!!",Greek/Greeklish,wertakos,2018-05-21 00:00:00,384418
Ελληνική Guild σε Horde... είμαστε 9 lvl και ψάχνουμε  άτομα... NecroNasty 90 lvl hunter... εάν θέλετε να μπείτε στην Guild.. :),Greek/Greeklish,SpiritNative,2015-04-02 00:00:00,292108
"Ελληνική Guild σε Horde... είμαστε 9 lvl και ψάχνουμε  άτομα... NecroNasty 90 lvl hunter... εάν θέλετε να μπείτε στην Guild.. :)
H guild είναι στον Sargeras.
:D:cool:",Greek/Greeklish,SpiritNative,2015-04-02 00:00:00,292108
Η guild ανέβηκε στα 12  lvl. Θα φτιαχτεί ένα κομμάτι στην bank που θα έχει μέσα δωρεάν mounts.,Greek/Greeklish,SpiritNative,2015-04-05 00:00:00,292108
pezete akoma ?,Greek/Greeklish,TehThanosAS,2018-04-28 00:00:00,292108
Yparxei ellhniko guild ston outland??,Greek/Greeklish,KOST91,2017-10-17 00:00:00,368590
"Originally Posted by KOST91

Yparxei ellhniko guild ston outland??


Are there any greek guild in tbc outland server, in alliance side? If so we would like to combine our forces with. We are a turkish guild raiding 10man in outland ally side. And soon we would like to star our own 25man. Rather than pugging it, we prefer doing joint-venture for something gonna be more systematic at the end. 

If so, please Mesekalkani in game. 

Wishing you good luck dear neighbours :)",Greek/Greeklish,Karakedi,2018-04-21 00:00:00,368590
"Apokleistika elliniko guild,psaxnume atoma gia na enisxusoume to roster mas gia raids.Dexomaste & atoma gia casual drastiriotites.[ICC~10/12hc 25man- 12/12hc 10man], [RS~25n - RS 10hc ] [Toc~25 4/5hc - ToC~10 5/5HC! Gia info steilte  Biliholy,Mastropos,Holyfear,Pavlova,Granpa!

1)Omada sto fb : https://www.facebook.com/groups/154126931668413/
2)To site mas : http://fws-ths-aughs.wowhordes.com/",Greek/Greeklish,F3ars0m3,2017-05-14 00:00:00,353021
είστε horde η alliance ?,Greek/Greeklish,CavaliereGR,2017-05-23 00:00:00,353021
@cavaliereGR     horde file! Pio polla orc mazemena dn exeis xana dei :D,Greek/Greeklish,F3ars0m3,2017-05-25 00:00:00,353021
11/12 hc !  FWS THS AUGHS  VS Lod  SOON!,Greek/Greeklish,F3ars0m3,2017-06-07 00:00:00,353021
"Αυτην την στιγμη παιζω legion σε private server αλλα σαν το wotlk δεν εχει, λεω να ξαναμπω και αν εχει πολλα ατομα η guild με ψηνει ακομα πιο πολυ!",Greek/Greeklish,youpitythefool,2017-06-10 00:00:00,353021
Και αν εχει πολυ queue ειναι βαρετο να περιμενεις,Greek/Greeklish,youpitythefool,2017-06-10 00:00:00,353021
"kalispera.distixws exei que o server ,alla me ena 10euro pu einia to elaxiston donate dn 8a exeis pote xana que ! to guild exei  437 players mesa apo tous opoious panw apo 100 einia active :D",Greek/Greeklish,F3ars0m3,2017-06-11 00:00:00,353021
"ηδη μπηκα αδερφε..και αυτο με το donate που λες δν ισχυει,αν κανω μια φορα donate εχω skip queue για 30 μερες και οχι για παντα",Greek/Greeklish,youpitythefool,2017-06-12 00:00:00,353021
"Premium Membership and Donation Guide 

No waiting in the log-in queue on all realms (does not apply to battlegrounds or dungeon finder) (Restricted for Lordaeron. See below.)
Lordaeron requires 5 coins minimum spent on the marketplace on a SINGLE item in order to permit queue skipping for 30 days. On all other realms, queue-skipping lasts forever.

Αυτο που λες ισχυει για Lordaeron Realm,το guild ειναι σε Icecrown Realm.",Greek/Greeklish,iptamenosdim,2017-06-24 00:00:00,353021
"Apokleistika elliniko guild,psaxnume atoma gia na enisxusoume to roster mas gia raids.Dexomaste & atoma gia casual drastiriotites.[ICC~11/12hc 25man- 12/12hc 10man], [RS~25n - RS 10hc ] [Toc~25 5/5hc - ToC~10 5/5HC! Gia info steilte Biliholy,Holyfear,Pavlova,Granpa,Kotov",Greek/Greeklish,F3ars0m3,2017-07-03 00:00:00,353021
Τι classes ψάχνετε γενικά;,Greek/Greeklish,SeventhSky,2017-07-04 00:00:00,353021
Resto Shaman twra kanw gear up 3.1k gs Name:Jebaits,Greek/Greeklish,Ymir,2017-07-27 00:00:00,353021
@SeventhSky ta panta kanume recruit ...vreite me in game  emena i kapoion allo officer gia perissoters leptomeries,Greek/Greeklish,F3ars0m3,2017-08-04 00:00:00,353021
Παιδια κανετε ακομα recruits? Ειστε active?,Greek/Greeklish,Asoure,2017-11-04 00:00:00,353021
nai prospa8oume :D,Greek/Greeklish,F3ars0m3,2017-12-11 00:00:00,353021
"Είμαστε μια παρέα 5-10 ατόμων γνωστοί και φίλοι IRL στον Lordareon ψάχνουμε για Έλληνες κάθε LVL και Class για να στήσουμε ένα Raiding team
και να κάνουμε progress από nax ως ICC. Για ότι απορίες έχετε /w Beeftekis - Skoupidiaris - Undeadsaiyan",Greek/Greeklish,UncleReaper,2018-01-09 00:00:00,374776
Kalhspera paidia prin 1 eudomada peripou evala enan xaraktira 80 lvl gia sale mesa sthn selida . Apofasisa na ton vgalw kai den xerw pws exei mipws kapou cancel kai ta sxetika giati den mporw na vrw tipota pou na mou epanaferei ton chart.. Euxaristw..,Greek/Greeklish,assos,2018-01-07 00:00:00,374642
"INACTIVE


 <Northern Defiance>  Καινούργια ελληνική alliance guild στον Icecrown αναζητά νέα μέλη.
αν θα θέλατε να συμμετάσχετε,aφήστε ένα σχόλιο ή καντέ apply εδώ http://northerndefiance.shivtr.com/

 GM toons: Celeste,Neonz,Neonzr,Neonzrmage,Neonzrpaly  
 Officer: Acastus 


Ta raid san guild 8a arxisoun otan exoume arketa members kai gia ta raids meres/ores 8a gini vote.",Greek/Greeklish,Neonzr,2017-02-11 00:00:00,348422
"Akoma psaxnoume atoma gia na arxisoume ta raids,raid times kai meres 8a siziti8oun otan exoume arkete atoma gia raids, an endiafereste na kanete join kante apply sto website h kante whisper kapion apo to guild.",Greek/Greeklish,Neonzr,2017-02-20 00:00:00,348422
Exete arketes 8eseis akoma?,Greek/Greeklish,boolouk,2017-02-28 00:00:00,348422
nai akoma xriazomaste arketa atoma.,Greek/Greeklish,Neonzr,2017-02-28 00:00:00,348422
"Kalhspera paidia, exoume elliniko guild ston icecrown san horde edw k 7mhnes....to  Guild legete Guilty as Sin.  Apokleistika elliniko guild,psaxnume atoma gia na enisxusoume to roster mas gia raids.Dexomaste & atoma gia casual drastiriotites.[ICC~12/12n 25man- 11/12hc 10man], [RS~25n - RS 10hc ]gia info steilte  Icecubed/Pavlova/Dabane.",Greek/Greeklish,F3ars0m3,2017-03-09 00:00:00,348422
"Akoma psaxnoume atoma(Alliance side),gia na arxisoume raids opios endiaferete na mou stili minima ingame",Greek/Greeklish,Neonzr,2017-03-09 00:00:00,348422
"Kalimera, re file Neonzr psi8eite na metakini8eite oloi horde ...Uparxei hdh mia polu megali parea me tylaxiston 100 atoma k me arketa kalo progress! Nomizw pws einai mia kalh eukairia k gia sas k gia mas efoson uparxei hdh ena sta8ero elliniko community.",Greek/Greeklish,F3ars0m3,2017-03-09 00:00:00,348422
"Psaxnoume gia kainourgia atoma 80 lvl,oste na boroume na arxhsoume raids.Omos ola ta lvl eine welcome  
Episis exoume 8eseis open gia kainourgious officer,pou 8a 8eloun na boei8isoun gia to progress tou guild",Greek/Greeklish,Neonzr,2017-03-20 00:00:00,348422
"Εγω παντως ρε φιλε, μονο ενα Priest πετυχα απο το guild σας, του μιλησα και εκανε τον κινεζο. Και ειμασταν και σε rdf παρεα. Mήπως είναι όντως κινέζος? :P",Greek/Greeklish,Euthivolos,2017-03-21 00:00:00,348422
"Paizei?:D,an 8es kaneme whisper se kapio apo ta chars m h pes m to onoma s",Greek/Greeklish,Neonzr,2017-03-21 00:00:00,348422
Re paidia plaka mu kanete? gt agnoeite to post mu ? sas lew exume guild me 200 atoma ellines k seis pate na kanete allo guild gt?,Greek/Greeklish,F3ars0m3,2017-03-21 00:00:00,348422
"Δε γουσταρουμε ρε φιλε τριχωτους και αηδιαστικους Horde, δηλαδη με το ζορι? Πάντως καλή επιτυχία!",Greek/Greeklish,Euthivolos,2017-03-21 00:00:00,348422
"Gl me to guild sou F3ars0m3,Auto to guild einai Ellhniko sto  Alliance   side

ps stamata na kanis advertise to guild sou se alla guild recruitment.",Greek/Greeklish,Neonzr,2017-03-21 00:00:00,348422
den kanw diafimish re file prospa8w na mazeutoume olh apo mia meria gia na kanume ena kalo community me progressive raids k ta sxetika gt vlepw oti k eseis antimetwpizete duskolies sto recruit..tespa opws nomizete.kalh sas tuxh...sorry an enoxlhsa.,Greek/Greeklish,F3ars0m3,2017-03-21 00:00:00,348422
"to onoma mou einai ""darkdamm"" tha xarw polu na mpw quild!",Greek/Greeklish,assos,2018-01-07 00:00:00,348422
Opoios gnwrizei kati as mou kanei /w Dremoria (Icecrown),Greek/Greeklish,Csdas,2017-11-29 00:00:00,371804
"Οι Ravens είναι μία νέα PVE Guild που βρίσκεται ακόμα στο level up. Στόχος μας είναι να πάμε 70 όσο το δυνατόν γρηγορότερα και να ξεκινήσουμε τα Riads. Τώρα ψάχνουμε για ενεργούς και γνώστες του παιχνιδιού παίκτες να ενταχθούν στη Guild μας. Για περισσότερες πληροφορίες, μπορείτε να στείλετε ένα PM στους: Chios (Gm) Valthak / Aominekun (Officer)",Greek/Greeklish,stam252525,2017-09-10 00:00:00,366077
Alliance ή Horde ?,Greek/Greeklish,damos,2017-11-26 00:00:00,366077
Ψαχνω ατομα οποιος γουσταρει να ξεκινησουμε ενα guild στον outland κυριος pvp,Greek/Greeklish,Akade,2017-05-22 00:00:00,353812
ama eisai alliance mesa ego,Greek/Greeklish,Arouraios,2017-06-11 00:00:00,353812
egw eimai horde side,Greek/Greeklish,KOST91,2017-06-28 00:00:00,353812
eimai alliance,Greek/Greeklish,Velti,2017-11-06 00:00:00,353812
"exoume ksekinhsei ena ston Outland / Alliance side  me filous. Kanume casual PvP / Arena. Opoios thelei wisper in game, to guild legetai ""if ganked will log main"".",Greek/Greeklish,holidays,2017-11-16 00:00:00,353812
kalos private aksizei na ksekiniseis paidia?,Greek/Greeklish,Shiverbro,2017-11-21 00:00:00,353812
"καλησπέρα παιδια θα ήθελα να μάθω για ποιο λόγο δεν μπορώ να κάνω Donate με Pay Safe 
αν γνωρίζει κάποιος θα ήθελα να μου απαντήσει 
                                                       Ευχαριστώ",Greek/Greeklish,zervos,2017-11-09 00:00:00,370408
"Απ' όσο έχω δει, το donate γίνεται:

1) μέσω πιστωτικής κάρτας (visa, mastercard, amex, discover)
2) μέσω Mint (http://www.mintprepaid.com/buy#buy)
2) μέσω smartphone με μια εφαρμογή που λέγεται WeChat

βέβαια εδώ στο forum του warmane ( http://forum.warmane.com/showthread.php?t=307442 ) λέει ότι υποστηρίζεται και donate μέσω paysafe card, αλλά δε βλέπω τέτοια επιλογή στη σελίδα του donate, οπότε ίσως το forum να μην είναι updated.",Greek/Greeklish,rottenbunny,2017-11-09 00:00:00,370408
"Έχω στείλει email και μίλησα προσωπικά με την paymentwall.com και μου εξήγησε ότι δεν είναι εφικτό με χρήση paysafe και Mobiano στην Ελλάδα να χρησιμοποιηθούν αυτές οι δυο επιλογές γιατί το συγκεκριμένο site(Warmane.com) δεν τις υποστηρίζει για την χωρα μας. 

""As it turns out, Paysafecard and mobile (Mobiamo) payment methods are not available for this website at Warmane.com on the country (Greece) you are currently in. Please note that payment systems are determined by the country and website that you are trying to pay for. ""

Δεν μου ξεκαθάρισαν για πιο λόγο γίνεται αυτο, συγκεκριμένα για την Ελλάδα και για το αν θα βρεθεί λύση. Πάντως είναι κρίμα.
Διότι και σε κάτι αλλα site δημιουργείται αυτο το πρόβλημα.
Και όχι δεν φταίει το forum αν είναι updated γιατί έχω ρωτήσει άτομα του εξωτερικού στην Ευρώπη και μου έχουν πει ότι μπορούν να πληρώσουν με τις δυο επιλογές που αναφέρω πιο πάνω.",Greek/Greeklish,Ripsin,2017-11-10 00:00:00,370408
"Όντως, μίλησα με έναν administrator και μου είπε ότι εξαρτάται από το region στο οποίο κατοικείς, άρα μάλλον είναι θέμα Ελλάδας.",Greek/Greeklish,rottenbunny,2017-11-10 00:00:00,370408
"Μπορείς να τον ρωτήσεις αν θα υπάρξει κάποια λύση πάνω σε αυτό το θέμα σε παρακαλώ πολύ?

Μπορεί να φταίει επειδή είμαστε ακόμα στα capital control",Greek/Greeklish,Ripsin,2017-11-10 00:00:00,370408
"Αν όντως είναι θέμα region (ή capital control, το ίδιο πράγμα είναι), δεν μπορεί δυστυχώς να κάνει κάτι ο warmane.",Greek/Greeklish,rottenbunny,2017-11-10 00:00:00,370408
"Kalhspera tha ithela na rwthsw an kapoios gnwrizei an yparxei kapoio ellhniko guild ston Icecrown dioti mesa apo ta topics edw den ebgala akrh.

Euxaristw polu.",Greek/Greeklish,Ripsin,2017-11-07 00:00:00,370241
Υπάρχει ελληνικό PVE guild στον icecrown?,Greek/Greeklish,arisvis1,2017-10-24 00:00:00,369098
"Ο Warmane είναι PvE σέρβερ ή PvP ? Ή και τα 2?

~Ευχαριστώ.",Greek/Greeklish,AxXeLiT,2017-09-08 00:00:00,365992
"- Στην περίπτωση που ρωτάς αν υπάρχουν τόσο PvE δραστηριότητες (dungeons, raids) όσο και PvP δραστηριότητες (battlegrounds, arenas) τότε η απάντηση είναι θετική, υπάρχουν και τα 2. 

- Στην περίπτωση που ρωτάς αν μπορεί να σου την πέσει κάποιος από το αντίπαλο faction την ώρα που κάνεις leveling, τότε η απάντηση είναι πάλι θετική. Όλοι οι servers των expansions του Warmane είναι PvP.",Greek/Greeklish,rottenbunny,2017-09-08 00:00:00,365992
Ευχαριστω για την πληροφορια! Δηλαδη δεν ειναι σερβερ που σου δινει insta 90LvL? Θελει να κανω leveling.,Greek/Greeklish,AxXeLiT,2017-09-08 00:00:00,365992
"Μπορείς να έχεις instant level 90, εφόσον το αγοράσεις με 20 coins (περίπου 20 ευρώ).",Greek/Greeklish,rottenbunny,2017-09-09 00:00:00,365992
κατεβασα στο mist pandaria εχω κανει acc στο warmane και βαζω το email και το pass στο game αλλα δεν κανει log In γιατι ?,Greek/Greeklish,HolySpeed,2017-09-05 00:00:00,365786
"Για να κάνεις login δε θα χρησιμοποιήσεις το mail σου , αλλά το ίδιο username με το οποίο κάνεις login εδώ στο site.",Greek/Greeklish,rottenbunny,2017-09-07 00:00:00,365786
Καλησερα παιδια ειναι η πρωτη φορα που μπαινω στη διαδικασια να παιξω ενα mmorpg game και θα ηθελα της συμβουλες σας!,Greek/Greeklish,mikexeno,2017-08-21 00:00:00,364708
"Kalispera, yparxoun ellines sth meria twn alliance ston icecrown? An nai, steilte mou /w in-game (Bowcurve).",Greek/Greeklish,Bowcurve,2017-08-05 00:00:00,363363
"Hello,
to account mou eixe enan 90ari tehthanosgr.Eixa svisei to warmane otan to ksanakatevasa o paixtis den ipirxe alla sto realm list elege oti ipirxe alla ego den mporousa na ton do me apotelesma na mou leei na kano allon paixti ston fakelo WTF ekei pou eprepe na exei to name tou paixti elege (null) akrivos etsi kai den mporo na do ton paixti oti kai na kano to exo psaksei kai sto internet alla tipota.Kante replay gia na me boithisete.

Paizo ston frostwolf",Greek/Greeklish,TehThanosAS,2017-08-01 00:00:00,362980
Yparxei kana ellhniko guild ston outland horde side ?,Greek/Greeklish,KOST91,2017-06-19 00:00:00,358325
paizei kana ellhniko guild pve sto medivh gia horde,Greek/Greeklish,ReportMyTeam,2017-06-17 00:00:00,358049
Psaxno gia guild. In-game name Holadin,Greek/Greeklish,Arouraios,2017-06-11 00:00:00,357180
kai ellhnes paixtes epishs na lvlaroume mazi,Greek/Greeklish,Arouraios,2017-06-11 00:00:00,357180
"Apokleistika elliniko guild,psaxnume atoma gia na enisxusoume to roster mas gia raids.Dexomaste & atoma gia casual drastiriotites.[ICC~12/12n 25man- 11/12hc 10man], [RS~25n - RS 10hc ]gia info steilte  Icecubed/Pavlova/Dabane/Sofoklis/Brantle/Uowm

1)Omada sto fb :  https://www.facebook.com/groups/154126931668413/
2)To site mas : http://guilty-as-sin.wowhordes.com/",Greek/Greeklish,F3ars0m3,2017-03-09 00:00:00,349562
"Ta recruit einai panta anoixta gia osous ellhnes endiaferodai gia raid h estw gia tn parea mas!
5/12 hc  sto 25aris mas! 
Updated!",Greek/Greeklish,F3ars0m3,2017-04-02 00:00:00,349562
"Meta to xtesino mas raid  ICC25  exume 8/12hc ! 
Updated!",Greek/Greeklish,F3ars0m3,2017-04-06 00:00:00,349562
"<Guilty as Sin> Psaxnoume ellines mono,gia na enisxusoume to roster mas gia raids.Dexomaste & atoma gia casual drastiriotites.[ICC~8/12hc 25man- 12/12hc 10man], [RS~25n - RS 10hc ].[TOC25~4/5hc] !!! 
10/4/2017 1ST bane run mono me guild members!
Updated!",Greek/Greeklish,F3ars0m3,2017-04-10 00:00:00,349562
"Kaname rename se ''Fws ths Aughs''  = Light of dawn!  mH Nomizete merikoi pws einai tipota politiko gt akousame k tetoia!
10/12 hc sto icc 25!!! k vgazume 2 icc 25 me tulaxiston 6hc boss! 
Updated",Greek/Greeklish,F3ars0m3,2017-05-14 00:00:00,349562
11/12 hc !  FWS THS AUGHS  VS Lod  SOON!,Greek/Greeklish,F3ars0m3,2017-06-07 00:00:00,349562
"geia sas, eimai ollandiko horde pally sto lordaeron kai psaxnw ellhniko guild gia na praktikw ta ellhnika mou. Epeidh, mathainw ellhnika :). Exw thn idea oti den uparxei ellhnikoi guilds sto lordaeron. An eimai lathos, deite mou. 

Kalhmeraaaaaa

// Prasino, lvl 65 horde pally",Greek/Greeklish,Koploper,2017-06-02 00:00:00,355663
Eimai kainourgios kai psaxnw prin 3ekinhsw,Greek/Greeklish,Swoosh887GR,2017-06-01 00:00:00,355571
"<Olympians> H ελληνική alliance guild στον realm lordaeron αναζητά νέα μέλη, όλοι είναι ευπρόσδεκτοι! 

PvE Progress: ICC10 10/12 με 2 ανεξάρτητα raid, ICC25 6/12

Tier 9: ToGC10 4/5, ToC10 και ToC25 5/5

Για όσους σκέφτονται να ξεκινήσουν στον realm ή να κάνουν reroll είναι η καλύτερη περίοδος αφού πρόσφατα άνοιξε το ICC!

Για περισσότερες πληροφορίες και ερωτήσεις γράψτε εδώ, in-game ή facebook.

Armory: http://armory.warmane.com/guild/Olym...daeron/summary

Facebook Group: https://www.facebook.com/groups/617908895056255/

Δείτε και το άλλο thread εδώ: http://forum.warmane.com/showthread.php?t=350071",Greek/Greeklish,Mippzy,2016-10-23 00:00:00,342797
"Bump, άντε να ανοίξει και το ICC επιτέλους!",Greek/Greeklish,Mippzy,2017-01-29 00:00:00,342797
bump 4/5 \o/,Greek/Greeklish,Mippzy,2017-03-10 00:00:00,342797
"Kalhspera paidia, exoume elliniko guild ston icecrown san horde edw k 7mhnes....to Guild legete Guilty as Sin. Apokleistika elliniko guild,psaxnume atoma gia na enisxusoume to roster mas gia raids.Dexomaste & atoma gia casual drastiriotites.[ICC~12/12n 25man- 11/12hc 10man], [RS~25n - RS 10hc ]gia info steilte Icecubed/Pavlova/Dabane/Uowm",Greek/Greeklish,F3ars0m3,2017-03-18 00:00:00,342797
"Bump 10/12 ICC10, 3/12 ICC25!",Greek/Greeklish,Mippzy,2017-04-28 00:00:00,342797
bump ICC25 6/12!,Greek/Greeklish,Mippzy,2017-05-11 00:00:00,342797
"Καλησπέρα φίλε αναγνώστη...
Είμαστε μια νέα guild στον ->ICECROWN<- με όνομα Ηellenic Horde.

Είμαστε ένα ελληνικό guild που δημιουργήθηκε με την συνεργασία μερικών φίλων ,οι οποίοι χρόνια ασχολούμαστε με το WoW και μερικοί από εμάς έχουν καταφέρει να παίξουν σε πολύ καλές guild και να καταφέρουν μεγάλες διακρίσεις.Δυστυχώς με το πέρασμα των χρόνων πολλοί από εμάς σταμάτησαν το παιχνίδι κυρίως γιατί τα επερχόμενα ''expansion'' δεν τους ευχαρίστησαν επαρκώς. Οι πιο πολοί προερχόμαστε από γνωστούς server (Kazzak,Ravencrest,Genjuros,Nagrand)

""Oι αναμνήσεις μένουν πάντα στις καρδιές μας"",γι'αυτό αποφασίσαμε να γυρίσουμε πίσω στο game έστω σε private server στο Wrath of the Lich King.

Η δημιουργία μας σοβαρής guild είναι μεγάλη υπόθεση και ευθύνη.
Στόχος μας είναι να έχουμε όσο το δυνατόν καλύτερους Έλληνες παίκτες με καλή γνώση του παιχνιδιού και πάνω από όλα σωστή συμπεριφορά και όρεξη για το παιχνίδι, δίνοντας ευκαιρίες σε όλους να αποδείξουν ότι αξίζουν μια θέση στο roster μας.
Παράλληλα διατηρούμε μια ελληνική κοινότητα στο World Of Warcraft έχοντας <χώρο> και για παίκτες με πιο casual διάθεση, που ψάχνουν ένα φιλικό περιβάλλον να μπορούν να κάνουν τις όποιες δραστηριότητες πιο εύκολα. (Dungeons, rated bgs, alt runs , achievement runs etc)

για Apply : www.hellenic-horde.wowhordes.com",Greek/Greeklish,celphecil,2016-07-25 00:00:00,337575
"Καλησπέρα , μήπως ψάχνεται healers ;",Greek/Greeklish,SeventhSky,2016-08-06 00:00:00,337575
"Ναι,η αλήθεια είναι πως ψάχνουμε.ιδιαίτερα priest για τον λόγο ό,τι δεν έχουμε κανέναν!Θα σε παρακαλούσα να απαντήσεις τα παραπάνω.

ευχαριστώ πολύ.",Greek/Greeklish,celphecil,2016-08-08 00:00:00,337575
"Όνομα: Χρήστος

Ηλικία(οι κυρίες, δεν λέμε ψέματα!): 19

Character name: Kampianos

Class και Spec: Holy paladin

Σε πόσα από τα raids της εβδομάδας θα έχετε συμμετοχή; (2 εως και 4); 3

Warmane armory (pve): τώρα ξεκίνησα , οποτε δεν εχει νοημα :D



-----------------------------------------------------------------------------------------------------------



Μας ενδιαφέρει να δούμε τι βλέπετε εσείς όταν είστε στο boss fight

-----------------------------------------------------------------------------------------------------------

Τι μπορείτε να προσφέρετε στο guild και τι περιμένετε από εμάς; Τις υπηρεσίες μου (;)

Πώς βλέπετε τον ρόλο σας μέσα στο raid; Αρκετά σημαντικό.





-----------------------------------------------------------------------------------------------------------

Με ποιο spec αποδίδετε το μέγιστο του ρόλου σας; Holy

Ποιό είναι το αγαπημένο σας spec; Holy

Αναφέρετε πώς χρησιμοποιείτε το Dual spec σας; Farm

(π.χ Αλλάζει συνεχως; Είναι για farm; Είναι για pvp; Εΐναι το alter raid ego σας;)

Σε τι βαθμό ασχολείστε ή/και κυνηγάτε τα achievements.

Απαντήστε και για τις 3 κατηγορίες

(προσωπικά achievements, raid achivements, guild achievements)



-----------------------------------------------------------------------------------------------------------

Τι σύνδεση Internet έχετε; 9 mbps (δε παει παραπανω , κακη περιοχη)

είστε ευχαριστημένοι με την απόδοση του pc σας στο WoW; Αρκετά.

Αναφέρετε μερικά βασικά χαρακτηριστικά του pc σας:
4gb ram , i5 4460 3.2ghz , amd radeon hd 5750 (προκειται για αγορα καινουριας τον Σεπτέμβριο)
(Μνήμη,Ταχύτητα επεξεργαστή,Κάρτα γραφικών).

Παίζετε από net cafe ή από σπίτι; Σπιτι.

Απαιτείται μικρόφωνο σε καλή λειτουργία και να μπορείτε να το χρησιμοποιείτε οταν σας ζητηθεί.
-----------------------------------------------------------------------------------------------------------

End game εμπειρία: (Φροντίστε να είστε αναλυτικοί)

(Vanilla,TBC,WotLK,Cataclysm,MoP+ ο,τιδήποτε αξιοσημείωτο στο PvP)

End game εμπειρια δεν ειχα ποτε , βρηκα αυτον τον σερβερ προκειμενου να την αποκτήσω , αυτά απο μένα :D



-----------------------------------------------------------------------------------------------------------

Έχετε alt(s);

Αν ναι, τι alt(s) είναι; - Πρώην main(s); --- Gathering machine(s);



-----------------------------------------------------------------------------------------------------------

Προηγούμενα guilds και λόγοι που φύγατε:

Έχετε ασχοληθεί με guild management ή raid leading;

Αν ναι,περιγράψτε τις αρμοδιότητες σας, κατά πόσο σας άρεσε το πόστο σας

Γνωρίζετε κάποιον από τους HELLENIC HORDE?",Greek/Greeklish,SeventhSky,2016-08-11 00:00:00,337575
